signature;translation;speech part;transcription;synonyms;sentences;groups
tawny;"рыжевато-коричневый; темно-желтый";adjective;;;None of them noticed a large, tawny owl flutter past the window.;colors, HARRY POTTER AND THE SORCERER'S STONE (book)
tear;разрывать(ся), рвать(ся);verb;;rip;;violence
teeter;"качаться на качелях; качаться, колебаться";verb;;;;сложные слова
tell;"1) рассказывать; говорить; сказать; 2) отличать; различать";verb;;distinguish, make out, narrate, relate;I won't even tell you what they did to him - it's too repulsive - but he still wouldn't take it back, old James Castle. | They look so much like each other that nobody can't tell one from the other.;LANGUAGE COURSES
tell on smb.;"ябедничать; доносить на (кого-л.)";phrase;;betray, give away;I cannot believe you're going to tell on me.;IT CROWD, phrasal verbs
tell smb. off;"ругать; отчитывать, бранить, разносить (to speak angrily to someone because they have done something wrong)";phrase;;;Ron had started telling people off for laughing at Quirrell's stutter. | When it bit me he told me off for frightening it.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
temperate;воздержанный, умеренный, выдержанный;adjective;ˈtempərɪt;mild, moderate;;
temple;висок;noun;;;Mr. Dursley jumped to his feet, veins throbbing in his temples.;body parts, HARRY POTTER AND THE CHAMBER OF SECRETS (book)
tend;"1) ухаживать, заботиться, присматривать; 2) иметь тенденцию (к чему-л.); клониться, склоняться (к чему-л.)";verb;;look after, take care of;Doctors these days tend to be more open-minded about alternative medicine.;сложные слова
tender;"1) нежный; мягкий; 2) ласковый; любящий; 3) заботливый, внимательный, чуткий";adjective;;affectionate;His teeth crunched through the tender flesh and fragile bones.;traits, WHITE FANG (book)
tentacle;щупальце;noun;ˈtentəkl;;The Weasley twins and Lee Jordan were tickling the tentacles of a giant squid, which was basking in the warm shallows.;animals, HARRY POTTER AND THE SORCERER'S STONE (book)
terrific;"1) ужасающий; 2) огромный; 3) необычайный; потрясающий";adjective;;enormous, tremendous;He leaped with a terrific energy, doubled like a spring, attained speed, and moved with effortless beauty. | He's a terrific snob and he won't hardly even talk to you unless you're a big shot or a celebrity or something, but he can really play the piano. | I'm the most terrific liar you ever saw in your life. | One thing I have, it's a terrific capacity. | You know when a girl's really a terrific dancer?;fear, THE CATCHER IN THE RYE (book)
terrify;"ужасать, внушать или вселять ужас, страх (fill with terror; frighten greatly)";verb;;frighten, horrify, scare;The robbers terrified the old man into giving them all his money.[Грабители так напугали старика, что он отдал им все деньги.];fear, violence
terror;"ужас, страх; террор";noun;;awe, dread, fear, fright, horror;;fear, violence
testify;"давать показания, свидетельствовать, показывать (to speak seriously about something, especially in a court of law; to give or provide proof)";verb;ˈtestɪfaɪ;;One of the best understood domains of concurrency is in data processing, as testified by the long history of query optimization in database management systems.;INFORMATION TECHNOLOGIES
thaw;"таять; согреваться; смягчаться";verb;;melt;;
the New Testament;Новый Завет;noun;;;However the New Testament mentions neither a manger as we understand it nor an inn when describing the Christmas story.;MYSTAGOGY, religion
thick;"1) толстый; полный; 2) вязкий, густой; 3) неразборчивый, невнятный (о речи)";adjective;;;"A hundred fat, roast turkeys; mountains of roast and boiled potatoes; platters of chipolatas; tureens of buttered peas, silver boats of thick, rich gravy and cranberry sauce - and stacks of wizard crackers every few feet along the table. | Harry had torn open the parcel to find a thick, hand knitted sweater in emerald green and a large box of homemade fudge. | He had a thick way of talking and a missing tooth in a corner of his smile. | The envelope was thick and heavy, made of yellowish parchment, and the address was written in emerald-green ink.";appearance, VOA
thickset;коренастый (describes a person, especially a man, whose body is wide across the shoulders and chest and who is short);adjective;;dumpy, squat;Both of them were thickset and looked extremely mean.;appearance, HARRY POTTER AND THE SORCERER'S STONE (book), самые сложные слова
thieve;"красть; воровать";verb;;sneak, steal;;fraud
think better of smth.;"передумать; отказаться от намерения (сделать что-л.)";phrase;;;The assistant looked as though he wanted to stop them leaving, but he barely came up to Hagrid's waist and seemed to think better of it.[Продавец хотел было остановить их, но он был Хагриду ровно по пояс, и благоразумно передумал.];HARRY POTTER AND THE CHAMBER OF SECRETS (book), idioms
thorough;"тщательный; основательный; доскональный";adjective;;;;
threshold;порог, пороговая величина;noun;ˈθreʃ(h)əuld;;"For example: ""the time to respond to the user should be under a certain threshold.""";INFORMATION TECHNOLOGIES
thrill;"испытывать трепет, дрожь; сильно взволноваться";verb;;;She was thrilling to a desire that urged her to go forward, to be in closer to that fire, to be squabbling with the dogs, and to be avoiding and dodging the stumbling feet of men.;fear, WHITE FANG (book)
thrive;"1) пышно расти, разрастаться; 2) процветать, преуспевать";verb;;flourish, prosper;;сложные слова
throb;сильно биться, пульсировать;verb;;;Mr. Dursley jumped to his feet, veins throbbing in his temples.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
throng;"толпиться; заполнять (press tightly together or cram)";verb;;;They crammed their pockets with the last of the sweets and joined the crowd thronging the corridor.;HARRY POTTER AND THE SORCERER'S STONE (book)
throttle;"душить; задыхаться (reduce the air supply)";verb;;choke, stifle;;violence, сложные слова
throughout;"1) повсюду, везде; 2) всё время, в течение всего времени";adverb;θruˈaʊt;;She insists upon strict discipline throughout the school, and if you take my advice you will do your very best to behave yourselves in her presence. | She was chatting throughout the whole maths lesson.;LANGUAGE COURSES
